URLLength,DomainLength,IsDomainIP,TLDLength,NoOfSubDomain,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,HasObfuscation,NoOfSlashInURL,ContainsSuspiciousKeyword,Entropy,CharContinuationRate
71.0,16.0,0.0,3.0,1.0,55.0,0.7746,2.0,0.0282,0.0,0.0,0.0,8.0,0.1127,1.0,1.0,4.0,0.0,4.4913,0.1268
70.0,16.0,0.0,3.0,1.0,61.0,0.8714,0.0,0.0,0.0,0.0,0.0,1.0,0.0143,0.0,0.0,5.0,0.0,4.2522,0.3
33.0,16.0,0.0,3.0,1.0,25.0,0.7576,0.0,0.0,0.0,0.0,0.0,1.0,0.0303,0.0,0.0,5.0,0.0,3.7,0.2424
65.0,14.0,0.0,2.0,1.0,49.0,0.7538,5.0,0.0769,1.0,1.0,0.0,2.0,0.0308,0.0,0.0,4.0,1.0,4.5129,0.2
27.0,19.0,0.0,3.0,1.0,22.0,0.8148,0.0,0.0,0.0,0.0,0.0,1.0,0.037,1.0,0.0,2.0,0.0,3.838,0.4074
30.0,16.0,0.0,4.0,0.0,25.0,0.8333,0.0,0.0,0.0,0.0,0.0,1.0,0.0333,0.0,0.0,3.0,1.0,3.9396,0.3667
16.0,9.0,0.0,2.0,1.0,11.0,0.6875,0.0,0.0,0.0,0.0,0.0,1.0,0.0625,0.0,0.0,2.0,0.0,3.1556,0.25
45.0,36.0,0.0,3.0,1.0,32.0,0.7111,5.0,0.1111,0.0,0.0,0.0,3.0,0.0667,1.0,0.0,3.0,0.0,4.1999,0.2444
61.0,43.0,0.0,3.0,1.0,27.0,0.4426,26.0,0.4262,0.0,0.0,0.0,2.0,0.0328,1.0,0.0,3.0,0.0,4.5594,0.1311
27.0,19.0,0.0,2.0,2.0,21.0,0.7778,0.0,0.0,0.0,0.0,0.0,1.0,0.037,1.0,0.0,2.0,0.0,3.8101,0.3333
